titolo,categoria,ingredienti
Pangiallo romano,LIEVITATI,"['Farina 00 200 g', 'Lievito di birra fresco 10 g', 'Zucchero 150 g', 'Arancia candita 50 g', 'Cedro candito 50 g', 'Pinoli 50 g', 'Noci 50 g', 'Mandorle 100 g', 'Nocciole 100 g', 'Uva sultanina 150 g', 'Cannella in polvere 1 cucchiaino', 'Olio extravergine di oliva 50 g', 'Albumi 2', 'Acqua 300 g', 'Zafferano (2 bustine) 0,25 g', 'Acqua 40 g', 'Olio extravergine di oliva 1 cucchiaio', 'Farina 00 1 cucchiaio']"
Spezzatino con cipolle borettane,SECONDI PIATTI,"['Manzo cappello del prete 1 kg', 'Cipolle borettane 900 g', 'Olio extravergine di oliva integrale non filtrato q.b.', 'Passata di pomodoro 300 g', 'Vino rosso 80 g', 'Acqua 15 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Rosmarino 1 rametto', 'Salvia 5 foglie', 'Sedano 1 costa', 'Carote 1', 'Aglio 1 spicchio']"
Stracotto al Porto con mele al rosmarino,SECONDI PIATTI,"['Vitello guancia 1 kg', 'Porto 400 g', 'Carote 2', 'Cipolle bianche 1', 'Bacche di ginepro 4', 'Alloro 4 foglie', 'Sedano 1 costa', 'Acqua 1 l', 'Burro 40 g', 'Farina 00 q.b.', 'Amido di mais (maizena) 1,5 cucchiaini', 'Sale fino q.b.', 'Pepe nero q.b.', 'Mele Fuji 2', 'Curcuma in polvere ¼ cucchiaino', 'Aceto di mele 20 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Rosmarino q.b.']"
Tiramisù al cardamomo,DOLCI,"['Caffè 200 g', 'Cardamomo bacche 20', 'Savoiardi 100 g', 'Cacao amaro in polvere q.b.', 'Granella di pistacchi 20 g', 'Mascarpone 400 g', 'Zucchero 125 g', 'Tuorli 4', 'Acqua 50 g']"
Tortelli poveri,PRIMI PIATTI,"['Farina 00 400 g', 'Uova medie 4', 'Ricotta di pecora 170 g', 'Ricotta vaccina 140 g', 'Noce moscata da grattugiare q.b.', 'Scorza di limone mezza, non trattata', 'Grana Padano DOP (da grattugiare) 20 g', 'Timo qualche fogliolina', 'Pepe nero 1 pizzico', 'Sale fino 1 pizzico', 'Pomodorini ciliegino 360 g', 'Basilico q.b.', 'Aglio 1 spicchio', 'Olio extravergine di oliva 25 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Ravioli di ortiche con fonduta,PRIMI PIATTI,"['Farina 00 400 g', 'Uova (2 medie) 110 g', 'Ortiche 100 g', 'Acqua 50 g', 'Olio extravergine di oliva 20 g', 'Semola di grano duro rimacinata q.b.', 'Ricotta vaccina 300 g', 'Parmigiano Reggiano DOP grattugiato 50 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Fontina 330 g', 'Panna fresca liquida 200 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Chiacchiere in friggitrice ad aria,DOLCI,"['Farina 00 500 g', 'Zucchero 70 g', 'Burro a temperatura ambiente 50 g', 'Uova (circa 3 medie) 175 g', 'Tuorli (circa 1 di uovo medio) 15 g', 'Grappa 30 g', 'Lievito in polvere per dolci 6 g', 'Baccello di vaniglia 1', 'Sale fino 1 pizzico', 'Acqua 100 g', 'Olio di semi di girasole 50 g', 'Zucchero a velo q.b.']"
Crostini di polenta con funghi e fonduta di Grana Padano,ANTIPASTI,"['Farina istantanea per polenta 300 g', 'Acqua 600 g', 'Olio extravergine di oliva 15 g', 'Sale fino q.b.', 'Olio di semi per friggere q.b.', 'Funghi champignon (da pulire) 350 g', 'Aglio 1 spicchio', 'Prezzemolo q.b.', 'Erba cipollina q.b.', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Latte intero 200 g', 'Grana Padano DOP Riserva oltre 20 mesi 70 g']"
Pizza con salame e olive,LIEVITATI,"['Farina Manitoba 200 g', 'Farina 00 300 g', 'Acqua a temperatura ambiente 300 ml', 'Sale fino 10 g', 'Lievito di birra fresco (oppure 1,5 g se secco) 4 g', 'Mozzarella per pizza (taglio a fiammifero) 200 g', 'Passata di pomodoro 300 g', 'Olio extravergine di oliva q.b.', 'Salame napoletano q.b.', 'Olive taggiasche q.b.']"
Pasta con crema di fave e cicoria,PRIMI PIATTI,"['Penne Rigate Senza Glutine 320 g', 'Fave secche 200 g', 'Carote 1', 'Scalogno 1', 'Alloro 1 foglia', 'Sale fino q.b.', 'Acqua 1 l', 'Cicoria 500 g', 'Aglio 1 spicchio', 'Peperoncino fresco 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pane senza glutine morbido 100 g', 'Prezzemolo 50 g', 'Aneto 10 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.']"
Galletto ripieno in salsa di frutta,SECONDI PIATTI,"[""Pollo 2 galletti da 500 g l'uno già svuotati delle interiora"", 'Mele Golden 100 g', 'Pere abate 150 g', 'Prugne secche 50 g', 'Castagne 50 g', 'Salsiccia 140 g', 'Brandy 30 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Mele Golden 130 g', 'Pere abate 150 g', 'Prugne secche 100 g', 'Castagne 200 g', 'Rosmarino 1 rametto', 'Salvia 5 foglie', 'Alloro 2 foglie', 'Brandy 50 g', 'Olio extravergine di oliva 20 g', 'Burro 10 g', 'Brodo vegetale 100 g']"
Penne in barca,PRIMI PIATTI,"['Penne Rigate 320 g', 'Vongole 1 kg', 'Prezzemolo 1 mazzetto', 'Peperoncino fresco 1', 'Aglio ½ spicchio', 'Cipolle bianche 40 g', 'Sale grosso 150 g', 'Acqua q.b.', 'Tuorli 2', 'Vino bianco 80 g', 'Olio extravergine di oliva q.b.', 'Burro 10 g', 'Farina 00 10 g', 'Latte intero 250 g', 'Sale fino q.b.']"
Pollo in gabbia,SECONDI PIATTI,"['Petto di pollo 500 g', 'Zucchine (8 fette) 200 g', 'Pancetta affumicata (8 fette) 50 g', 'Alloro 2 foglie', 'Aglio 1 spicchio', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Pasta Sfoglia rettangolare 230 g', 'Uova 1', 'Semi di sesamo q.b.']"
Dolci bare di Halloween,DOLCI,"['Confettura di albicocche circa 100 g', 'Pan di Spagna 350 g', 'Zucchero a velo 2 cucchiai', 'Acqua bollente q.b.', 'Cioccolato fondente 20 g', 'Biscotti secchi (tipo oro saiwa) 10', 'Cioccolato fondente 150 g', 'Panna fresca liquida 125 ml', 'Glucosio 25 g', 'Decorazione alimentare fiori colorati di zucchero (o di ostia) q.b.']"
Pasta al forno con besciamella di soia,PRIMI PIATTI,"['Sedanini Rigati 320 g', 'Peperoni gialli 320 g', 'Porri 100 g', 'Carote 130 g', 'Sedano 120 g', 'Zucchine 130 g', 'Pomodorini ciliegino colorati 300 g', 'Pisellini 100 g', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.', 'Pepe nero q.b.', 'Latte di soia 1 l', 'Olio di semi 100 g', 'Farina 00 100 g', 'Sale fino q.b.', 'Noce moscata q.b.', 'Nocciole 10 g', 'Pangrattato 20 g', 'Olio extravergine di oliva q.b.']"
Crostatine senza cottura con crema allo yogurt e Nutella®,DOLCI,"['Fiocchi di avena 60 g', 'Mandorle pelate 60 g', 'Miele millefiori 40 g', 'Olio di cocco 30 g', 'Zucchero di canna 15 g', 'Panna fresca liquida 150 g', 'Yogurt greco 75 g', 'Nutella® 60 g', 'Kiwi q.b.', 'Pesche q.b.', 'Fragole q.b.', 'Mirtilli q.b.']"
Filetto in crosta con salsa al Porto e aria di caffè,SECONDI PIATTI,"['Carne bovina tranci di filetto di manzo Black angus (aged)', 'Zucca di crema 1 cucchiaino', 'Burro fuso 1 cucchiaio', 'Porto 1/2 litro', 'Anice stellato 1 bacca', 'Cannella in stecche 1 stecca', 'Zucchero di canna grezzo 1/2 tazza', 'Caffè arabica in polvere 1/4 di tazza', 'Cacao amaro in polvere amaro 1/4 di tazza', 'Zucchero grezzo di canna 1 cucchiaino', 'Sale (fior di sale) 2 cucchiaini', 'Peperoncino di cayenna 1 cucchiaino', 'Noce moscata macinata 1/2 cucchiaino', 'Caffè moka amaro 1 tazza', 'Cardamomo 2 bacche', 'Lecitina di soia 1 cucchiaio']"
Filetti di tonno con salsa ai capperi,ANTIPASTI,"[""Tonno sott'olio sgocciolato 240 g"", ""Frutti di cappero sott'aceto 40 g"", 'Ravanelli 100 g', 'Fagioli cannellini precotti 130 g', 'Olio extravergine di oliva q.b.', 'Valeriana (songino) 100 g', ""Frutti di cappero sott'aceto 25 g"", 'Olio extravergine di oliva 20 g', 'Acqua 50 g']"
Barattolo picnic con crema di yogurt e Pavesini,DOLCI,"['Albumi 80 g', 'Zucchero 160 g', 'Acqua 40 g', 'Yogurt greco 600 g', 'Panna fresca liquida 300 g', 'Pavesini 32', 'Confettura di albicocche 350 g', 'Albicocche candita o fresca 1']"
Ravioli di patate e gorgonzola,PRIMI PIATTI,"['Farina 0 150 g', 'Tuorli 1', 'Sale fino q.b.', 'Pepe nero q.b.', 'Noce moscata q.b.', 'Patate 400 g', 'Gorgonzola 220 g', 'Gorgonzola 100 g', 'Panna fresca liquida 50 g', 'Speck 50 g', 'Erba cipollina q.b.', 'Salvia q.b.', 'Burro 50 g']"
Sorbetto di mango al lime e menta allo zenzero,DOLCI,"['Mango (polpa) 200 g', 'Succo di lime 60 ml', 'Acqua 250 g', 'Zucchero 50 g', 'Zenzero fresco 80 g', 'Menta 4 rametti', 'Acqua 500 ml', 'Zucchero 150 g', 'Mango ½', 'Menta q.b.']"
Calamari ripieni con feta e pomodorini,SECONDI PIATTI,"['Calamari (2 grandi) 800 g', 'Feta 100 g', 'Pomodorini ciliegino 120 g', 'Aglio ½ spicchio', 'Prezzemolo q.b.', 'Olio extravergine di oliva 40 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Sfogliette mele e crema,DOLCI,"['Pasta Sfoglia rettangolare 230 g', 'Mele Evelina 1', 'Zucchero q.b.', 'Latte intero 250 g', 'Zucchero 75 g', 'Amido di mais (maizena) 35 g', 'Tuorli 2']"
Insalata di riso invernale,PIATTI UNICI,"['Riso Ribe 320 g', 'Cavolo cappuccio rosso 80 g', 'Cavolfiore 80 g', 'Carote 80 g', 'Gherigli di noci 50 g', 'Timo 3 rametti', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Succo di limone 40 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Torta variegata al cocco e caffè,DOLCI,"['Farina 00 220 g', 'Uova (medie, a temperatura ambiente) 3', 'Zucchero 140 g', 'Burro 100 g', 'Lievito in polvere per dolci 8 g', 'Latte intero (a temperatura ambiente) 30 g', 'Sale fino ½ cucchiaino', 'Zucchero a velo per guarnire q.b.', 'Cocco rapè 20 g', 'Caffè (della moka a temperatura ambiente) 30 g', 'Farina 00 30 g']"
Scaloppine al gorgonzola con noci e cacao,SECONDI PIATTI,"['Fettine di vitello 700 g', 'Gorgonzola 200 g', 'Noci 10', 'Cacao amaro in polvere 1 cucchiaio', 'Latte intero 100 g', 'Farina 00 50 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Spiedini di pollo con pita,PIATTI UNICI,"['Farina Manitoba 250 g', 'Farina 00 250 g', 'Acqua 300 g', 'Lievito di birra fresco 10 g', 'Malto 10 g', 'Olio extravergine di oliva 10 g', 'Sale fino 10 g', 'Sovracosce di pollo 6', 'Pomodori ramati 2', 'Cipolle rosse 1', 'Friggitelli 3', 'Peperoncino fresco 1', 'Burro di arachidi 3 cucchiai', 'Aglio 1 spicchio', 'Succo di lime 1', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Arachidi salate tostate q.b.', 'Succo di lime q.b.', 'Salsa piccante q.b.', 'Peperoncino fresco q.b.', 'Coriandolo q.b.']"
Torta in barattolo,DOLCI,"['Uova medie 3', 'Farina 00 50 g', 'Zucchero 70 g', 'Miele 5 g', 'Scorza di limone 1', 'Uova medie 2', 'Farina 00 20 g', 'Zucchero 40 g', 'Miele 5 g', 'Cacao amaro in polvere 12 g', 'Lamponi 125 g', 'Yogurt greco 300 g', 'Panna fresca liquida 200 ml', 'Zucchero a velo 50 g', 'Lamponi 125 g', 'Cioccolato fondente q.b.']"
Zuppa svuotafrigo,PRIMI PIATTI,"['Zucca napoletana 540 g', 'Patate 380 g', 'Cavolo nero 300 g', 'Pomodorini ciliegino 300 g', 'Fagiolini 200 g', 'Cipolle rosse 60 g', 'Peperoncino secco 2', 'Sale grosso q.b.', 'Olio extravergine di oliva q.b.', 'Pane 4 fette', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Origano secco q.b.']"
Tiramisù di pandoro e frutti di bosco,DOLCI,"['Pandoro 2 fette', 'Frutti di bosco misti 250 g', 'Mascarpone 250 g', 'Zucchero 80 g', 'Uova medie 2', 'Latte intero q.b.', 'Gocce di cioccolato bianco q.b.']"
"Peperoni ripieni di riso nero, salmone e zucchine",PIATTI UNICI,"['Peperoni rossi 1', 'Peperoni gialli 1', 'Zucchine 2', 'Salmone affumicato 80 g', 'Riso nero Venere 300 g', 'Olio extravergine di oliva 40 g', 'Sale fino q.b.']"
Gnocchi con sugo di rana pescatrice,PRIMI PIATTI,"['Patate 1 kg', 'Farina 00 300 g', 'Uova medio 1', 'Sale fino 1 pizzico', 'Rana pescatrice 600 g', 'Pomodori pelati 600 g', 'Scalogno 1', 'Bacche di ginepro 4', 'Rosmarino 1 rametto', 'Alloro 2 foglie', 'Concentrato di pomodoro 20 g', 'Sale fino q.b.', 'Peperoncino secco 1', 'Olio extravergine di oliva q.b.']"
Branzino al vapore con verdure di stagione,SECONDI PIATTI,"['Branzino (spigola) 500 g', 'Peperoni rossi 1', 'Pisellini 300 g', 'Sedano 3 coste', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Olio extravergine di oliva 40 g', 'Basilico q.b.', 'Origano q.b.', 'Timo q.b.', 'Prezzemolo q.b.']"
Tortelloni con bietole e crema al Parmigiano,PRIMI PIATTI,"['Tortelloni 400 g', 'Bietole 230 g', 'Aglio 1 spicchio', 'Peperoncino secco 2', 'Olio extravergine di oliva q.b.', 'Panna fresca liquida 250 g', 'Parmigiano Reggiano DOP 100 g']"
"Risotto radicchio, noci e Sbrinz DOP",PRIMI PIATTI,"['Sbrinz DOP 180 g', 'Riso Carnaroli 320 g', 'Radicchio 450 g', 'Gherigli di noci 100 g', 'Scalogno 1', 'Brodo vegetale 1 l', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
"Spaghetti cacio, pepe e ricci di mare",PRIMI PIATTI,"['Burro 50 g', 'Spaghetti 320 g', 'Pecorino romano 75 g', 'Pecorino toscano semistagionato 75 g', 'Amido di mais (maizena) 10 g', 'Latte intero 350 g', 'Ricci di mare (circa 8 ricci freschi) 60 g', 'Ricci di mare pastorizzati 60 g', 'Aglio 1 spicchio', 'Basilico q.b.', 'Olio extravergine di oliva q.b.', 'Passata di pomodoro 30 g', 'Pepe nero in grani di Sarawak 2 g', 'Pepe di Sichuan in grani 2 g', 'Pepe giamaicano in grani 2 g', 'Pepe bianco in grani di Penja 2 g', 'Acqua 300 g', 'Pecorino toscano q.b.', 'Olio extravergine di oliva q.b.', 'Basilico 8 foglie', 'Pepe nero in grani di Sarawak q.b.']"
Castagnole al cioccolato,DOLCI,"['Farina 00 170 g', 'Cacao amaro in polvere 30 g', 'Uova (circa 2 medie) 106 g', 'Sambuca 10 g', 'Sale fino 1 pizzico', 'Baccello di vaniglia 1', 'Lievito in polvere per dolci 8 g', 'Zucchero 50 g', 'Burro morbido 40 g', 'Gocce di cioccolato 90 g', 'Olio di semi di arachide 700 g', 'Zucchero 200 g']"
Thepla,LIEVITATI,"['Farina 00 100 g', 'Farina integrale 200 g', 'Farina di ceci 100 g', 'Acqua 150 g', 'Yogurt 50 g', 'Spinaci lessati 50 g', 'Sale fino 1 cucchiaino', 'Peperoncino in polvere 1 cucchiaino', 'Curcuma in polvere 1 cucchiaino', 'Fieno greco in polvere 1 cucchiaino', 'Cumino in polvere 1 cucchiaino', 'Olio extravergine di oliva 1 cucchiaio']"
Tartufi rossi,DOLCI,"['Pan di Spagna 230 g', 'Cioccolato fondente 200 g', 'Lamponi 100 g', 'Cioccolato bianco 450 g', 'Coloranti alimentari (in polvere e liposolubili, colore rosso) q.b.']"
Gnocchi coi Useleti (Gnocchi con gli involtini di carne),PRIMI PIATTI,"['Sale q.b.', 'Cipolle mezza', 'Passata di pomodoro 250 g', 'Carne bovina 8 fettine del peso totale di circa 450-500 gr', 'Salvia 16 foglioline', 'Olio di oliva extravergine 3-4 cucchiai', 'Pancetta 8 fettine (circa 80 gr)', 'Emmentaler 8 fettine (circa 80 gr)', 'Burro 20 g', 'Vino rosso 1 bicchiere', 'Pepe macinato q.b.', 'Patate 800 g', 'Farina 400 g', 'Sale q.b.', 'Uova 1']"
Biscotti lecca lecca,DOLCI,"['Zucchero a velo 100 g', 'Farina 00 250 g', 'Tuorli 2', 'Burro (freddo di frigo) 125 g', 'Baccello di vaniglia 1', 'Marzapane 125 g', 'Coloranti alimentari giallo, blu, rosso q.b.', 'Colla alimentare q.b.', 'Matite alimentari brillanti, color madreperla q.b.', 'Confettini colorati al cioccolato q.b.']"
Cozze in salsa di zafferano,SECONDI PIATTI,"['Cipolle 1 piccola', 'Olio extravergine di oliva 5 cucchiai', 'Prezzemolo tritato 2 cucchiai', 'Zafferano 1 bustina', 'Cozze 1 kg', 'Alloro 2 foglie', 'Vino bianco 80 gr']"
Pomodorini gratinati ripieni di bulgur,ANTIPASTI,"['Bulgur 70 g', 'Acqua 175 ml', 'Sale fino ½ cucchiaino', 'Pomodorini ciliegino 400 g', 'Carote 40 g', 'Zucchine baby 30 g', 'Pisellini 30 g', 'Pinoli tostati 10 g', 'Cipollotto fresco 1', 'Emmentaler da grattugiare q.b.', 'Zenzero fresco q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Piadina con tacchino e guacamole,PIATTI UNICI,"['Piadine Sfogliatissime 2', 'Fesa di tacchino 600 g', 'Avocado 600 g', 'Cipolle 100 g', 'Peperoncino fresco 1', 'Prezzemolo 1 ciuffo', 'Succo di lime 40 ml', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Polenta taragna al gorgonzola,PIATTI UNICI,"['Farina istantanea per polenta taragna 330 g', 'Acqua 1,5 l', 'Gorgonzola 220 g', 'Panna fresca liquida 60 g', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.']"
Quesadillas con funghi,PIATTI UNICI,"['Funghi champignon 300 g', 'Edamer 100 g', 'Cipolle bianche 1', 'Pomodori ramati 2', 'Peperoncino in polvere 1 pizzico', 'Sale fino 1 pizzico', 'Pepe nero 1 pizzico', 'Olio extravergine di oliva 20 g', 'Coriandolo fresco 10 g', 'Tortillas di farina 4']"
Pasta fredda al pesto di peperoni e caciocavallo,PRIMI PIATTI,"['Casarecce 320 g', 'Mandorle in scaglie 30', 'Caciocavallo 100 g', 'Basilico q.b.', 'Sale fino q.b.', 'Peperoni rossi 1', 'Peperoni gialli 1', 'Mandorle 40 g', 'Grana Padano DOP 50 g', 'Olio extravergine di oliva 4 cucchiai', 'Aglio 1 spicchio', 'Basilico 30 foglie']"
"Spaghetti integrali con peperoni rossi, rucola e feta",PRIMI PIATTI,"['Spaghetti Integrali 320 g', 'Peperoni rossi 450 g', 'Rucola 50 g', 'Feta 150 g', 'Pomodorini ciliegino 150 g', 'Rosmarino q.b.', 'Salvia q.b.', 'Timo q.b.', 'Olio extravergine di oliva 60 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Focaccine di patate alla birra,LIEVITATI,"['Patate 130 g', 'Birra chiara 100 ml', 'Farina 00 150 g', 'Semola 150 g', 'Acqua tiepida 100 ml', 'Olio extravergine di oliva 15 g', 'Sale fino 8 g', 'Lievito di birra secco 3 g', 'Zucchero 1 cucchiaino', 'Olive denocciolate 50 g', 'Patate piccole 100 g', 'Semi di finocchio q.b.', 'Timo q.b.', 'Alloro q.b.']"
Insalata russa dell'orto,ANTIPASTI,"['Patate viola 4', 'Carote 3', 'Cipolle 2', 'Broccoli romaneschi ½', 'Cavolfiore ½', 'Salame (già cotto) 3 fette', 'Uova medio 1', 'Olio di semi 200 ml', 'Senape 1 cucchiaino', 'Succo di limone ½', 'Sale fino q.b.']"
Crostino con uovo poché,ANTIPASTI,"['Pane casereccio 4 fette', 'Uova 4', 'Gorgonzola (dolce) 120 g', 'Spinacini 100 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Gazpacho all’anguria,ANTIPASTI,"['Cocomero (anguria) 1,2 kg', 'Pomodori ramati 300 g', 'Peperoni rossi 100 g', 'Cipolle bianche 120 g', 'Aceto di vino rosso 15 g', 'Olio extravergine di oliva 25 g', 'Farina di mandorle 60 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Caprino 150 g', 'Panna fresca liquida 25 g', 'Mandorle in scaglie 25 g', 'Fiori eduli q.b.', 'Menta q.b.']"
Bavette scampi e melograno,PRIMI PIATTI,"['Linguine 320 g', 'Scampi 500 g', 'Melagrana i chicchi 100 g', 'Basilico 4 foglie', 'Aglio 1 spicchio', 'Vino bianco 50 g', 'Sale fino q.b.', 'Pepe nero q.b.']"
Tartine al caviale,ANTIPASTI,"['Pane per tramezzini 100 g', 'Caviale nero 70 g', 'Salmone affumicato 100 g', 'Formaggio fresco spalmabile 250 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Aneto q.b.']"
Kipferl al cioccolato,DOLCI,"['Uova medio 1', 'Farina 00 250 g', 'Zucchero 125 g', 'Limoni la scorza grattugiata 1', 'Sale fino q.b.', 'Mandorle da tritare finemente 150 g', 'Cioccolato fondente 50 g', 'Burro 175 g', 'Baccello di vaniglia 1', 'Cioccolato fondente 150 g']"
Trota in crosta di Grana Padano e zucchine marinate,SECONDI PIATTI,"['Trota 1,2 kg', 'Zucchine (4 piccole) 600 g', 'Pomodorini gialli e rossi 200 g', 'Menta 10 foglie', 'Semi di zucca 20 g', 'Sale fino q.b.', 'Aceto di lamponi q.b.', 'Olio extravergine di oliva q.b.', 'Grana Padano DOP grattugiato 90 g', 'Pangrattato 65 g', 'Burro 60 g', 'Farina di mandorle 35 g', 'Miele ½ cucchiaino', 'Sale fino q.b.', 'Pepe rosa q.b.', 'Macis 1 g', 'Bacche di ginepro 4', 'Maggiorana 10 foglie']"
Ciambella salata con formaggio e friarielli,ANTIPASTI,"['Farina Manitoba 185 g', 'Lievito di birra fresco 10 g', 'Acqua 100 g', 'Farina 00 400 g', 'Latte intero 150 g', 'Burro 100 g', 'Zucchero 10 g', 'Sale fino 15 g', 'Friarielli surgelati 850 g', 'Provola 150 g', 'Aglio 2 spicchi', 'Sale fino q.b.', 'Olio extravergine di oliva q.b.', 'Acqua 20 g', 'Olio extravergine di oliva 20 g']"
Toast di patate alla pizzaiola,ANTIPASTI,"['Patate 700 g', 'Uova (1 medio) 54 g', 'Mozzarella 60 g', 'Passata di pomodoro 50 g', 'Farina 00 150 g', 'Pangrattato 50 g', 'Origano q.b.', 'Sale fino 5 g', 'Basilico q.b.']"
"Focaccia dolce con mele, pinoli e cioccolato",LIEVITATI,"['Farina Manitoba 250 g', 'Lievito di birra secco 5 g', 'Zucchero 50 g', 'Latte intero 130 g', 'Olio extravergine di oliva 20 g', 'Confettura di pesche 150 g', 'Mele 2', 'Pinoli 20 g', 'Gocce di cioccolato fondente 20 g']"
Pesche caramellate,DOLCI,"['Pesche noci 2', 'Zucchero q.b.', 'Zucchero 120 g', 'Panna fresca liquida 40 g', 'Burro (temperatura ambiente) 10 g', 'Acqua 30 g', 'Baccello di vaniglia q.b.', 'Gelato 4 palline, gusti a piacere q.b.', 'Menta q.b.']"
Cernia al forno con carciofi,SECONDI PIATTI,"['Filetti di cernia (già puliti) 300 g', 'Carciofi (da pulire) 400 g', 'Succo di limone ½', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', 'Scorza di limone 1', 'Succo di limone 20 g', 'Vino bianco 20 g', 'Olio extravergine di oliva 20 g', 'Aglio 2 spicchi', 'Rosmarino 1 rametto', 'Salvia 3 foglie']"
Rosti di lenticchie con rana pescatrice,ANTIPASTI,"['Lenticchie secche 170 g', 'Patate 200 g', 'Uova medio 1', 'Parmigiano Reggiano DOP da grattugiare 20 g', 'Pangrattato 20 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Rana pescatrice 500 g', 'Marsala 160 g', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.', ""Succo d'arancia 40 g"", 'Panna fresca liquida 20 g', 'Scalogno 10 g', 'Olio extravergine di oliva 20 g', 'Sale fino q.b.', 'Salvia 12 foglie', 'Olio extravergine di oliva q.b.', ""Scorza d'arancia q.b."", 'Pepe nero q.b.']"
Capesante su letto di cipolle caramellate con carote e peperoni alla soia,SECONDI PIATTI,"['Capesante 8', 'Peperoni rossi 200 g', 'Peperoni gialli 200 g', 'Salsa di soia 45 g', 'Carote baby 200 g', 'Cipolle dorate 200 g', 'Zucchero 45 g', 'Olio extravergine di oliva 60 g', 'Timo 4 rametti']"
Frappè al caffè con latte di mandorla,BEVANDE,"['Latte di mandorle 250 g', 'Caffè solubile Nescafè Classic 2 cucchiai', 'Gelato alla vaniglia 300 g', 'Lamponi 100 g', 'Zucchero di canna 1 cucchiaio', 'Panna fresca liquida montata q.b.', 'Cioccolato fondente q.b.', 'Cioccolato bianco q.b.', 'Mandorle in scaglie q.b.', 'Lamponi 3']"
Fusilli carciofi e caprino,PRIMI PIATTI,"['Fusilli 320 g', 'Olio extravergine di oliva 5 cucchiai', 'Aglio 1 spicchio', 'Mandorle pelate 50 g', 'Pecorino da grattugiare 40 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Carciofi 4', 'Caprino 300 g', 'Prezzemolo tritato 2 cucchiai']"
Cioccolata calda su stecco,DOLCI,"['Cioccolato fondente 430 g', 'Zucchero a velo 45 g', 'Amido di mais (maizena) 45 g', 'Cacao amaro in polvere 22 g', 'Mandorle in scaglie 1 cucchiaino', 'Cardamomo 1 pizzico', 'Granella di pistacchi 1 cucchiaino', 'Peperoncino in polvere 1 pizzico', 'Granella di nocciole 1 cucchiaino', 'Cannella in polvere 1 pizzico', 'Cocco rapè 1 cucchiaino', 'Zenzero in polvere 1 pizzico', 'Fior di sale 1 pizzico', 'Fiori eduli essiccati q.b.']"
Rigatoni ai porcini e frutti di bosco,PRIMI PIATTI,"['Rigatoni 320 g', 'Funghi porcini 600 g', 'Frutti di bosco (ribes, more, lamponi) 200 g', 'Olio extravergine di oliva 40 g', 'Prezzemolo tritato 5 g', 'Aglio 1 spicchio', 'Sale fino q.b.', 'Pepe nero q.b.']"
Granita al caffè,DOLCI,"['Farina di mandorle 15 g', 'Farina 00 30 g', 'Burro 45 g', 'Zucchero 35 g', 'Miele millefiori 5 g', 'Lievito in polvere per dolci 2 g', 'Uova 1', 'Aroma alla mandorla 2 gocce', 'Sale fino 1 pizzico', 'Caffè 500 ml', 'Zucchero 100 g', 'Acqua 50 ml', 'Baccello di vaniglia ½', 'Chicchi di caffè q.b.', 'Panna fresca liquida q.b.', 'Zucchero a velo q.b.']"
